Sentence,Sentiment,Result
pr need deeper test store password salt class user php line doubl hash seem well salt password affect exist instal chang anymor possibl check non salt password exist treat mark non salt salt new password better salt especi new instal salt password done easili php password hash gener hash includ inform algorithm salt hash password start easili detect need plain password verifi hash see hash old password salt reenter manual user current possibilti salt password plain password transmiss requir use challeng login transfer kind plain password hash password sure implement similar salt password hash javascrypt use bcrypt algo need transfer salt everytim client javascript base reprogram php password verifi function idea let know ask user enter password upon log salt option question transmiss password store implement commit work fine though secur expert mostli curiou ad salt password storag well add layer secur mayb intrud find password hash salt find salt speed test password salt hash slower intrud get access salt hash shown pictur know salt use algorithm matter want say decis send plain password send plain password serversid password salt easili send plain password current know verifi salt hash client know inform creat respons challeng client normal usernam plain password random number server look easili salt password without chang appli new chang password said current know implement challeng login thank inform repli see find figur taken time look work fine password store sourc file access larger issu secur need compani vpn access appropri setup,"{'neg': 0.034, 'neu': 0.711, 'pos': 0.254, 'compound': 0.9909}",positive
sourc code encrypt cool workaround creat new user add collabor read permiss post link usernam password thank tip entir sure point besid encrypt local commit encrypt version idea host import code untrust place cheap vps encrypt commit lose point use git gitea current moment keybas io encrypt git need damn feel dumb kind propos compar kind featur updat regard timelin,"{'neg': 0.149, 'neu': 0.585, 'pos': 0.266, 'compound': 0.755}",positive
end figur go easi spot bug reason check use mention method configur start connect assign paramet member properti mqttsessionmanag initialis mqttsession pass paramet mqttsession initialis assign variabl member properti bug method mqttsession check first exist alreadi transport initialis pass along certif array point code transport initialis yet refer certif array lost transport initialis call method made basic certif properti mqttsession stub access certif properti session transport exist yet uninitialis certif array pass manag lost mqttsession instanc later initialis transport tri pass certif hold refer manag correct either initialis transport time mqttsession hold certif properti mqttsession instanc thank find inconsist send pull request want wait time fix thank post took fulli understand actual wrong fix immedi took problem happen legaci initi method problem show owntrack ios fix hi seem certif correctli latest version somebodi pleas help,"{'neg': 0.108, 'neu': 0.778, 'pos': 0.114, 'compound': -0.0207}",neutral
yes packag actual sign subkey e fix id text key avail though link said packag refer page download tab github sign document apt packag sign differ subkey avail describ sure requir correct although obvious sourc confus sure explain secur html page purpos enabl user establish trust clearli explain key use ensur integr inform describ actual see problem least home jb gnupg creat gpg new configur file home jb gnupg gpg conf yet activ run gpg keyr home jb gnupg pubr gpg creat gpg home jb gnupg trustdb gpg trustdb creat gpg key e public key syncth releas manag import gpg total number process gpg import rsa gpg ultim trust key found jb gpg list key home jb gnupg pubr gpg pub r e uid syncth releas manag sub r f f sub r c expir jb gpg verifi var www apt dist dist syncth inreleas gpg signatur made mon oct pm utc use rsa key id e gpg good signatur syncth releas manag gpg warn key certifi trust signatur gpg indic signatur belong owner primari key fingerprint c e e e f e e e ed e jb,"{'neg': 0.053, 'neu': 0.773, 'pos': 0.174, 'compound': 0.9749}",positive
,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",neutral
,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",neutral
readi review binari jcenter pr updat publish bintray jcenter pr readi merg fix packag name,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.1779}",positive
thank propos benefit offer reql compar encrypt client feel better handl client side sinc fairli specif password encrypt method bcrypt wrong cours rethinkdb bcrypt hash actual quit nice reduc amount code requir rd parti librari exampl mysql add ton code rethinkdb deal bcrypt hash probabl ton code requir work driver bit concern lead us featur creep add addit mainten work road think add function reql requir addit librari support client languag unless run databas add addit benefit encrypt somewhat edg sinc encrypt decrypt databas sometim allow thing otherwis possibl index encrypt data though index need access encrypt key think appli bcrypt though go close feel strongli becom part reql happi give consider,"{'neg': 0.106, 'neu': 0.698, 'pos': 0.195, 'compound': 0.8929}",positive
writeup look good given brand new featur think need saniti check dev take look volunt someon,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4696}",positive
want review clair leverag oval data provid vendor exampl provid oval inform errata cve oracl linux either singl combin file individu file year oval data machin readabl xml pretti simpl import done,"{'neg': 0.0, 'neu': 0.782, 'pos': 0.218, 'compound': 0.5454}",positive
relev check fix public expon still fit bit uint instead int chang enough make work idea implic especi consid unfortun int uint bit machin hold valu lower want consist across architectur expon rare unnecessari,"{'neg': 0.104, 'neu': 0.66, 'pos': 0.235, 'compound': 0.5204}",positive
v mani thank let know best ben,"{'neg': 0.0, 'neu': 0.338, 'pos': 0.662, 'compound': 0.7808}",positive
splittingr submit fix,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
someon verifi issu still open issu anyon els pleas confirm issu harbor use credenti test privat docker registri therefor replic work harbor privat registri pleas check,"{'neg': 0.22, 'neu': 0.667, 'pos': 0.113, 'compound': -0.6393}",negative
failur warn lock packag js dangerid danger id default warn warn lock packag json chang made packag json requir manual import facebook employe gener entri sign dangerj e c c e b b ff c low vulner due use packag low sever look jest unfortun upgrad github howev current land diff intern fb upgrad jest sync soon,"{'neg': 0.373, 'neu': 0.589, 'pos': 0.038, 'compound': -0.9545}",negative
,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",neutral
hello pleas packetf user kind issu,"{'neg': 0.228, 'neu': 0.311, 'pos': 0.462, 'compound': 0.3094}",positive
web api need send client suggest provid detail startup class seem use view app call bring antiforgeri servic along compon view form taghelp gener antiforgeri token automat like reason see cooki extrem discourag disabl antiforgeri app develop sort app access browser accept form encod content choos believ disabl antiforgeri gener per form basi ad asp antiforgeri fals form global taghelp initi see cooki recap use view see cooki disabl antiforgeri form tag helper potenti compon gener automat see cooki close action requir global taghelp initi anyon explain disabl global mention,"{'neg': 0.196, 'neu': 0.699, 'pos': 0.105, 'compound': -0.9198}",negative
thank issu ignor work perfectli,"{'neg': 0.471, 'neu': 0.235, 'pos': 0.294, 'compound': -0.128}",negative
afaik pretti much websit even hotmail googl abl view password use debug tool worri one intercept request aka mitm attack even ssl still suffer need combin ssl hpkp secur ssl pin certif worri malici code read password well even wors machin question infect case grab password hash hash one thing server know actual user password per say anyon read request still abl hash password directli good articl miss point go bit detail appreci total agre ssl hash password etc stuf problem someon password easili debugg tool alreadi open login login googl abl see password plain text someth interest clear request histori debug tool get login success respons think simpl technic think mattermost architectur realli impress awesom great work login googl abl see password plain text someth interest clear request histori debug tool get login success respons yes probabl look right request clearli see password use firebug googl hotmail major compani valu secur everyth els googl exampl check request contain plain text password someon password use debugg tool firebug machin need least compromis person requir physic access,"{'neg': 0.097, 'neu': 0.6, 'pos': 0.303, 'compound': 0.9914}",positive
alreadi exist,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
question rather issu pleas send question selenium user issu pleas provid concis reproduc test describ result see result expect see,"{'neg': 0.324, 'neu': 0.501, 'pos': 0.175, 'compound': -0.594}",negative
congratul tada releas part fastlan rocket,"{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.6705}",positive
,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",neutral
pleas provid reproduct code hi basic receiv multisig transact without signatur sign one privat key input contain redeem script great interest part one throw error fix transact said use access inform via api thank tri access tx ins properti undefin reason anyway think getter input ad transactionbuild api awesom thank use test fixtur directli thank bug report,"{'neg': 0.061, 'neu': 0.577, 'pos': 0.362, 'compound': 0.9635}",positive
vote think exact thing morn need still continu support http basic auth api backward compat add option multipl user configur file expos ui yet provid two page login page see forgot password page static text go config file chang password,"{'neg': 0.075, 'neu': 0.799, 'pos': 0.126, 'compound': 0.3004}",positive
ptal buildah bud need support doc nit add refer kpod man page need rememb circl back touch name chang ad authifl buildah bud r pushpin commit bad approv zap test exempt pull fulli rebas alreadi test,"{'neg': 0.083, 'neu': 0.687, 'pos': 0.23, 'compound': 0.3004}",positive
make sens familiar rail difficult omni auth look omniauth provid issu mention omniauth provid well short plan next mileston take consider cours pr alway make easier progress report interest pr omniauth support someth limit,"{'neg': 0.102, 'neu': 0.543, 'pos': 0.355, 'compound': 0.8645}",positive
thank much awesom heart,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.9129}",positive
usag document refer pleas review follow link oauth authorizedclientmanag resourc owner password well question better suit stack mention guidelin prefer github issu bug enhanc feel free updat issu link post question peopl find add detail feel genuin bug,"{'neg': 0.165, 'neu': 0.529, 'pos': 0.306, 'compound': 0.7367}",positive
aspnet ident even see refer code ask smile mean deprec corefx packag updat packag ident implement inde somewhat strang reason behind provid access user implement password hasher see updat case still need fantast thank assign surprisingli follow snippet crash dnx clr use latest version use work first version fyi work expect oop introduc bug read copi byte array fix asap fix sparkl woot thank work charm done,"{'neg': 0.034, 'neu': 0.719, 'pos': 0.247, 'compound': 0.9173}",positive
valu flag true default look sourc seem bug kind bug assign fix land consid backport given workaround given bug non critic add note thank much quick fix let keep open decid want add document note,"{'neg': 0.049, 'neu': 0.65, 'pos': 0.302, 'compound': 0.836}",positive
copi googl group tri setup ldap auth constantli follow error credenti use user correct work elsewher mind come configur found run slapd debug mode watch request found samson come f send ldap result err match text tls confidenti requir standard error ldapsearch exampl zz use self sign cert ca ad local system cert still error tls enforc port upgrad port give tls accept failur error mean bad certif self sign ca user uid usernam ou peopl ldap base anonym bind user bindus task believ one solut encrypt simpl tls thank j rgen abl eventu chang firstli chang ssl certif setup use self sign ca use purchas certif seem help error ldap olc configur olcdatabas hdb cn config chang olcsecur tls olcsecur tls work mean forc ssl connect rais issu add ldap support either abil add ca file turn simpl tls etc thank,"{'neg': 0.144, 'neu': 0.692, 'pos': 0.165, 'compound': -0.3485}",negative
flag defin rfc section seem self assign work patch submit via geritt hope today two addit flag flagsgroupkey flagssplitkey miss relev patch chang mention issu see implement well thank,"{'neg': 0.108, 'neu': 0.68, 'pos': 0.212, 'compound': 0.5719}",positive
nice idea yes search issu knew someon ask love add bounti work dev team implement featur sinc wonder quickli verifi accuraci inventori need function specif view asset view prefer detail tab button link verifi asset inform assign timestamp user id perform verif give option space comment allow user conduct inventori search asset verifi info quickli right detail page brought search last inventori tekk found betsi cabinet drawer addit inventori report help report includ basic asset locat assign user info show asset inventori within specifi interv highlight asset exceed specifi interv mind run away inventori updat reconcili featur chew right origin implement snipe scrub clean normal approxim record asset data normal perfect happi model name manufactur detail ensur accuraci statu assign user asset belong dream inventori updat screen thrown togeth cruddi gimp exampl allow technician updat comput field effortlessli simpli enter asset tag box screen shot visual depart constantli updat last seen time exampl technician field offsit locat inventori updat screen scan asset barcod locat barcod scan last seen date updat current date time simpl report allow identifi item scan inventori last x amount day allow send technician hunt particular miss asset simpli email user bring asset offic make sure latest greatest softwar updat inventori still accur spitbal think amaz addit softwar make realiti think idea make great bulk inventori featur think someth separ abil individu search asset verifi complet agre think button asset detail screen function yes button hyperlink think someth along line press button name someth appropri inventori seen verifi comment field pop submit button user provid comment omit press submit button inventori last seen field updat new timestamp user comment,"{'neg': 0.011, 'neu': 0.609, 'pos': 0.38, 'compound': 0.9984}",positive
cla assist committ sign cla one admin verifi patch request review review tri reword explan rereview,"{'neg': 0.0, 'neu': 0.767, 'pos': 0.233, 'compound': 0.2406}",positive
aws codebuild ci report codebuild project autobuildproject aea qxephusryhcu commit id ec e e ea c f f c result succeed build avail day power avail aws serverless applic github codebuild log aws codebuild ci report codebuild project autobuildproject aea qxephusryhcu commit id ca b ed e c ac f b result succeed build avail day power avail aws serverless applic github codebuild log aws codebuild ci report codebuild project autobuildproject aea qxephusryhcu commit id dfe db e bdc ae ea c db result fail build avail day power avail aws serverless applic github codebuild log aws codebuild ci report codebuild project autobuildproject aea qxephusryhcu commit id b cd f cf e dfa result succeed build avail day power avail aws serverless applic github codebuild log aws codebuild ci report codebuild project autobuildproject aea qxephusryhcu commit id dece c abb f ea b f e result fail build avail day power avail aws serverless applic github codebuild log aws codebuild ci report codebuild project autobuildproject aea qxephusryhcu commit id cef c cc c ced f f result succeed build avail day power avail aws serverless applic github codebuild log,"{'neg': 0.03, 'neu': 0.715, 'pos': 0.255, 'compound': 0.9927}",positive
relat try master branch moment seem leagu oauth librari chang implement broke stuff incident need allow less secur app use xoauth enabl regular id password auth workaround issu sort experienc broken stuff peopl report think fix final got token wrong first tri simpl without xoauth usernam password got error tri enabl less secur app error god try sure much success tri set mail smtpdebug verbos output link issu relat webserv use exim messag transfer agent contact serverhost said redirect traffic prevent outbound connect network seem least attempt authent get correct respons googl sure got refresh token normal token gone troubleshoot side far tell connect googl server idea oauth avail random rnd mode tri troubleshoot progress updat ticket yeah webserv problem authent everi time alway fail login data right log via browser yes got refresh normal token know check right usabl tri smtpdebug advic everyth work well try simpl without oauth mayb auth type right simpl usernam pass authent googl advic app password help case check gmail inbox account saw tri send messag without oauth got result mail deliveri notif arriv deliveri mail fail hell go feel quit desper troubleshoot doc say enabl access less secur app normal id password auth unfortun oauth extrem difficult debug one mani fail enabl said still first post understand still work see last debug authent fail even normal user pass send mail deliveri notif failur happen look thing gmail support quit caus behaviour auth check everi paramet tri send messag debugg say seem work somehow recipi still mail sender receiv deliveri failur notif well least work somehow still look forward solut oauth notif say give reason bounc xoauth effect initi submiss anyth noth auth scheme phpmailer come say deliveri follow recipi fail perman usernamedetail perman failur messag reject see inform think e mail got blacklist someth check contact owner longer phpmailer issu caus job howev one question see php first post end mail send success see errorinfo post echo end echo go right see echo end exampl error errorinfo thing debug output mean yes see sorri forgot turn debugg see got blind mani debug phpmailer work fine without xoauth simpl usernam pass verif howev recipi still messag return sender script fault found solut origin xoauth issu workaround work close issu think thank help repli run one factor list support page e g tri auth often find xoauth work,"{'neg': 0.189, 'neu': 0.609, 'pos': 0.202, 'compound': -0.5297}",negative
broke homebrew develop pleas report bug clang version usr local librari tap homebrew homebrew scienc octav rb load formula usr local librari homebrew formulari rb load formula usr local librari homebrew formulari rb load file usr local librari homebrew formulari rb formula usr local librari homebrew formulari rb find prioriti usr local librari homebrew extend argv rb map usr local librari homebrew extend argv rb cat usr local librari homebrew brew rb usr local librari homebrew util rb clang version usr local librari tap homebrew homebrew scienc octav rb load formula usr local librari tap youtux homebrew livecheck livecheck extend formulari rb load formula usr local librari homebrew formulari rb load file usr local librari homebrew formulari rb formula usr local librari homebrew formulari rb find prioriti usr local librari homebrew extend argv rb map usr local librari homebrew extend argv rb usr local cellar rubi lib rubi rubygem core ext kernel requir rb requir usr local librari homebrew brew rb usr local librari tap homebrew homebrew scienc octav rb homebrew developerbrew updat behav potenti even disrupt use surgic overrid un set homebrew develop,"{'neg': 0.015, 'neu': 0.903, 'pos': 0.082, 'compound': 0.7149}",positive
recaptcha creat hidden textarea element id check valu valid purpos empti string user complet captcha yet yeah found solut creat issu thank,"{'neg': 0.136, 'neu': 0.512, 'pos': 0.352, 'compound': 0.6508}",positive
note let encrypt develop rational let encrypt short certif lifetim aim encourag autom make rel burdensom sysadmin updat certif manual suggest want secur use ssl hst preload hpkp certif pin dane sysadmin updat thing manual rather script precis lead websit invalid certif configur user ignor access ssl lab requir hst preload score requir server suppli max age valu least six month strict transport secur header requir certif lifetim month neither ad site hst preload list rfc suggest max age valu month say noth lifetim use certif need pin leaf certif possibl pin use certif trust chain includ let encrypt ca independ lifetim certif protect compromis ca except let encrypt let say trust let encrypt compromis though hpkp base public key certif use gener client therefor remain constant longer individu certif lifetim long csr let encrypt dane possibl specifi certif accept issu certain ca independ certif lifetim want tie tlsa record directli leaf certif ensur public key easili scriptabl manag dns updat run dns server use cloud dns solut provid api sysadmin updat thing manual rather script hpkp dane dnssec fragil need manual review chang time sync simpl guess autom hpkp expir delay exampl need pin leaf certif goal hpkp dane mainli cancel ca trust problem pin intermedi root certif purpos hpkp base public key certif use yep default let encrypt renew ever possibl disabl behaviour alway need directli usabl good configur default dane agre public key pin cert current possibl let encrypt year cert key default better overal tls ecosystem easili scriptabl manag dns updat simpl dnssec dane requir wors imposs ksk offlin shadow dns master purpos dane hpkp reduc chanc mitm attack reduc attack surfac larg number cas know littl one ca dealt signific improv allow avoid mitm attack cas trust hpkp dane support pin intermedi certif unless provid signific trust benefit let assum howev want trust cas even let encrypt state hpkp dnssec fragil requir manual review take much effort unclear compar one time effort ad singl command line option script call letsencrypt csr gener thing need easier answer add option forc client reus csr issu certif longer lifetim peopl regener privat key good configur limit time compromis privat key exploit yes dane support pin specif certif provid secur advantag pin public key sinc remov ca trust model certif compromis privat key compromis mean regener base new privat key case pin public key rather certif use site extrem strict certif rotat polici reus keypair sinc specif tri avoid frequent certif rotat benefit certif pin public key pin acknowledg script base cert pin difficult appear benefit public key pin state dnssec rollov creat sir tific sadli still well document exampl config file sourc code cours work got hst preload littl raspberri pi use let encrypt hst durat seem decoupl tls certif lifetim got everyth ssllab edit use dane etc though publish certif expiri use public key instead expiri issu longer present public key expiri use le specifi key csr updat actual certif make sure adapt tlsa record type accordingli chang length certif offer let encrypt ca scope certbot client feel free open issu,"{'neg': 0.138, 'neu': 0.648, 'pos': 0.213, 'compound': 0.9897}",positive
still watch repo major updat come fix issu ok still happen idea try investig hi think bug similar root login error via ssh must someth insid pam allow deni login root sadli test debug give new inform new result ok think pam suppos work close,"{'neg': 0.115, 'neu': 0.676, 'pos': 0.209, 'compound': 0.4624}",positive
report merg decreas coverag diff coverag impact file tree impact coverag complex arrow arrow arrow continu review full report legend click learn power last updat read comment,"{'neg': 0.109, 'neu': 0.662, 'pos': 0.229, 'compound': 0.4253}",positive
,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",neutral
happen due cloudflar scrape shield option wild even pdf huh,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
sorri appear logback alreadi date owasp autom check strike,"{'neg': 0.158, 'neu': 0.842, 'pos': 0.0, 'compound': -0.128}",negative
thread automat lock sinc recent activ close pleas open new issu relat bug,"{'neg': 0.229, 'neu': 0.606, 'pos': 0.166, 'compound': -0.2359}",negative
think common case solv case project referenc sourc asset store project target destin see easi repro develop realist case happen project renam asset ad know sure common case extra time pick next featur backlog made sens take short amount time renam project someth account chat abandon close featur,"{'neg': 0.105, 'neu': 0.592, 'pos': 0.303, 'compound': 0.8402}",positive
,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",neutral
output script fix,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
creat pull request instead fork done,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
confirm chromium team screen shot decid debug code found thing read rfc appear amazon broken infrastructur enforc dns host name path vs file path foo com amazonaw com vs amazonaw com foo com thank,"{'neg': 0.129, 'neu': 0.764, 'pos': 0.107, 'compound': -0.2168}",negative
thank contribut author notifi review propos chang sign,"{'neg': 0.0, 'neu': 0.612, 'pos': 0.388, 'compound': 0.4215}",positive
detail credenti cocoapod admin dmg danger fail yep ci bit weird white check mark good ya white check mark fit left test white check mark fdescrib left test white check mark fdescrib left test gener entri sign danger hah realis danger fail look dangerfil made small chang rebas good merg feel free ci run probabl ad check separ pr time look,"{'neg': 0.259, 'neu': 0.547, 'pos': 0.194, 'compound': -0.8205}",negative
thank,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3612}",positive
yea fine origin made exampl ci csrf protect built ah ok ok thank,"{'neg': 0.0, 'neu': 0.415, 'pos': 0.585, 'compound': 0.8519}",positive
shipit,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",neutral
,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",neutral
resolv follow,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",neutral
